league_id,name,type,country,country_code,season,season_start,season_end,logo,flag,standings,is_current,coverage_standings,coverage_fixtures_events,coverage_fixtures_lineups,coverage_fixtures_statistics,coverage_fixtures_players_statistics,coverage_players,coverage_topscorers,coverage_predictions,coverage_odds
1399,Queensland NPL,League,Australia,AU,2020,2020-02-08,2020-11-15,https://media.api-sports.io/football/leagues/482.png,https://media.api-sports.io/flags/au.svg,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1400,Copa de la Superliga,Cup,Argentina,AR,2020,2020-03-13,2020-05-17,https://media.api-sports.io/football/leagues/483.png,https://media.api-sports.io/flags/ar.svg,0,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1401,Frauenliga,League,Austria,AT,2020,2019-08-17,2020-05-30,https://media.api-sports.io/football/leagues/484.png,https://media.api-sports.io/flags/at.svg,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1402,King's Cup,Cup,Bahrain,BH,2019,2019-09-13,2020-09-20,https://media.api-sports.io/football/leagues/485.png,https://media.api-sports.io/flags/bh.svg,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1403,Coppa,Cup,Belarus,BY,2019,2019-05-22,2020-05-24,https://media.api-sports.io/football/leagues/486.png,https://media.api-sports.io/flags/by.svg,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1404,First Amateur Division,League,Belgium,BE,2019,2019-08-30,2020-04-25,https://media.api-sports.io/football/leagues/487.png,https://media.api-sports.io/flags/be.svg,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1405,U19 Bundesliga,League,Germany,DE,2019,2019-08-10,2020-05-09,https://media.api-sports.io/football/leagues/488.png,https://media.api-sports.io/flags/de.svg,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1406,USL League One,League,USA,US,2020,2020-07-18,2020-10-31,https://media.api-sports.io/football/leagues/489.png,https://media.api-sports.io/flags/us.svg,0,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1407,USL League One,League,USA,US,2019,2019-03-29,2019-10-19,https://media.api-sports.io/football/leagues/489.png,https://media.api-sports.io/flags/us.svg,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1410,Løgmanssteypid,Cup,Faroe-Islands,FO,2019,2019-03-30,2019-09-21,https://media.api-sports.io/football/leagues/491.png,https://media.api-sports.io/flags/fo.svg,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
